TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9differentRuns1,1.0,32.0,1.203447009375E7,849848.7602807155,1226443.0,0.0
t9differentRuns1,2.0,64.0,4881512.390625001,157610.2850074031,1158970.0,0.0
t9differentRuns1,4.0,64.0,4978517.546875002,30954.68684615975,1248901.0,0.0
t9differentRuns1,8.0,64.0,5162490.906249999,416887.5881809821,1306338.0,0.0
t9differentRuns1,16.0,64.0,5559003.921875002,156730.0260599089,1369248.0,0.0
t9differentRuns1,32.0,64.0,5948629.625,81264.02985262848,1430607.0,0.0
t9differentRuns1,64.0,32.0,6485257.75,582955.7324739104,1502158.0,0.0
t9differentRuns1,128.0,32.0,6691786.468749998,86428.75955150517,1551166.0,0.0
t9differentRuns1,256.0,32.0,6933049.406250002,99713.39451126252,1593920.0,0.0
t9differentRuns1,512.0,32.0,7256286.531250001,456738.581784216,1635740.0,0.0
t9differentRuns1,1024.0,32.0,7163967.500000001,109991.5470353327,1674389.0,0.0
t9differentRuns1,2048.0,32.0,6880653.65625,199306.69218643254,1691208.0,0.0
t9differentRuns1,4096.0,32.0,6819671.96875,422950.89660487784,1687421.0,0.0
t9differentRuns1,8192.0,64.0,6001954.484375003,211279.88075325763,1632134.0,0.0
