TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t10runs1,1.0,2.0,5.76559896E8,5.1930128485520154E7,1.879238E7,0.0
t10runs1,2.0,2.0,6.001252085E8,2.355296108467987E7,1.7787086E7,0.0
t10runs1,3.0,2.0,6.45723771E8,1.5221091476367192E7,1.73363E7,0.0
t10runs1,4.0,2.0,5.79246021E8,4.412932647547016E7,1.709387E7,0.0
t10runs1,5.0,2.0,6.862802085E8,2.290560482650359E7,1.6845064E7,0.0
t10runs1,6.0,2.0,6.072149585E8,1.2732695739237646E7,1.6790635E7,0.0
t10runs1,7.0,2.0,6.135905625E8,2.4075129744101327E7,1.6705335E7,0.0
t10runs1,8.0,2.0,5.559195205E8,2.7455747867984593E7,1.664049E7,0.0
t10runs1,9.0,2.0,5.68525104E8,3.1380072416737475E7,1.6574699E7,0.0
t10runs1,10.0,2.0,5.598817495E8,2.1427574877128407E7,1.6539215E7,0.0
t10runs1,11.0,2.0,6.2053225E8,1.3560363519509718E7,1.6512821E7,0.0
t10runs1,12.0,2.0,5.69312354E8,1.8325585816410672E7,1.6443562E7,0.0
t10runs1,13.0,2.0,5.249503125E8,1.3041258753771145E7,1.6429684E7,0.0
t10runs1,14.0,2.0,5.57760271E8,9138500.961844454,1.6422936E7,0.0
t10runs1,15.0,2.0,5.1819875E8,3.414259153262283E7,1.6414974E7,0.0
t10runs1,16.0,2.0,5.34463833E8,4.633034341012378E7,1.6377714E7,0.0
t10runs1,17.0,2.0,5.45025875E8,4934308.498845406,1.6387376E7,0.0
t10runs1,18.0,2.0,5.112746665E8,2.275369424827416E7,1.6337647E7,0.0
t10runs1,19.0,2.0,5.34117021E8,5918630.83674189,1.6356463E7,0.0
t10runs1,20.0,2.0,4.99974167E8,8704190.319985427,1.6392326E7,0.0
t10runs1,21.0,2.0,5.150176045E8,3.2521637625100315E7,1.6370042E7,0.0
t10runs1,22.0,2.0,4.986208955E8,8811640.14513419,1.6373632E7,0.0
t10runs1,23.0,2.0,5.338171875E8,1.52008816574541E7,1.639021E7,0.0
t10runs1,24.0,2.0,5.099565625E8,2019408.5787211314,1.6422712E7,0.0
t10runs1,25.0,2.0,5.28609646E8,7456175.135462417,1.6224523E7,0.0
t10runs1,26.0,2.0,4.88885416E8,3.0349199825221915E7,1.6311978E7,0.0
t10runs1,27.0,2.0,5.052871875E8,1.757463770768378E7,1.6355797E7,0.0
t10runs1,28.0,2.0,4.90668354E8,8683300.971455613,1.6344659E7,0.0
t10runs1,29.0,2.0,4.722495625E8,2.1320241724598538E7,1.636167E7,0.0
t10runs1,30.0,2.0,4.700414375E8,1.6709728734566953E7,1.6394976E7,0.0
