TITLE,PARAMETER,RUNS,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t7e2_1,1.0,3.0,64.0,1.1896912109375E7,24281.37342370799,1566522.6666666667,26.271402795019895
t7e2_1,2.0,3.0,64.0,1.2044829020833334E7,19535.37358573807,1566533.5885416667,4.187276502144968
t7e2_1,3.0,3.0,64.0,1.2121304692708334E7,47023.47157550978,1624738.2864583333,28.37929454241263
t7e2_1,4.0,3.0,64.0,1.176504665625E7,63435.678990390916,1572765.6875,60.30434489878714
t7e2_1,5.0,3.0,64.0,1.1730860479166666E7,180050.0547986804,1582056.859375,22.87362850225943
t7e2_1,6.0,3.0,64.0,1.1821894348958334E7,2508.107659632824,1645040.8541666667,48.80669863225515
t7e2_1,7.0,3.0,64.0,1.1692112432291666E7,152265.29613249394,1572608.0572916667,24.064150376311865
t7e2_1,8.0,3.0,64.0,1.1566793619791666E7,150663.36833415777,1610906.4895833333,27.151207517590795
t7e2_1,9.0,3.0,64.0,1.1543501104166666E7,53901.26681442885,1612636.359375,12.633930937657526
t7e2_1,10.0,3.0,64.0,1.1409465255208334E7,53595.45574314148,1640120.3645833333,64.05857521006968
t7e2_1,11.0,3.0,64.0,1.1515211020833334E7,122501.47617791434,1675536.6302083333,85.52978900907888
t7e2_1,12.0,3.0,64.0,1.1298874963541666E7,44243.96564973688,1724269.2864583333,182.458368494668
t7e2_1,13.0,3.0,64.0,1.1089023010416666E7,116146.16096353739,1659981.2447916667,0.9685399638011113
t7e2_1,14.0,3.0,64.0,1.0986434895833334E7,94632.68637608386,1673890.2916666667,121.94709839901184
t7e2_1,15.0,3.0,64.0,1.1037422973958334E7,44115.29062907987,1706286.5416666667,72.93033037903623
t7e2_1,16.0,3.0,64.0,1.10366504375E7,49071.059048435156,1734744.8385416667,73.70122581649234
t7e2_1,17.0,3.0,64.0,1.0896727713541666E7,110447.7812581845,1733730.9375,83.68328149375178
t7e2_1,18.0,3.0,64.0,1.0923525229166666E7,52501.971202005785,1759612.1041666667,106.96529940448451
t7e2_1,19.0,3.0,64.0,1.0984002609375E7,69322.8258759057,1792736.296875,164.63101794714294
t7e2_1,20.0,3.0,64.0,1.1023785979166666E7,76947.03961216916,1810579.3541666667,31.53704238383053
t7e2_1,21.0,3.0,64.0,1.1085914015625E7,92856.8166884555,1840994.1770833333,129.26381217501094
t7e2_1,22.0,3.0,64.0,1.1057815130208334E7,49376.55335238836,1869535.1979166667,94.01656936812046
t7e2_1,23.0,3.0,64.0,1.1139203166666666E7,45722.257807176335,1902002.1302083333,98.63807731413901
t7e2_1,24.0,3.0,64.0,1.1284174234375E7,44243.65928009255,1942081.2604166667,286.89351465879196
t7e2_1,25.0,3.0,64.0,1.1026507828125E7,55214.9647501504,1875362.8541666667,70.18773885016812
t7e2_1,26.0,3.0,64.0,1.1146770833333334E7,51701.260302222916,1901783.734375,199.99002233412327
t7e2_1,27.0,3.0,64.0,1.1145013046875E7,125445.91873957192,1921469.9583333333,51.10938773818383
t7e2_1,28.0,3.0,64.0,1.1166163192708334E7,121366.85029522484,1939805.2760416667,182.2376876181855
t7e2_1,29.0,3.0,64.0,1.1147880432291666E7,125650.66433355762,1964960.7604166667,221.94390673686004
t7e2_1,30.0,3.0,64.0,1.1419965208333334E7,478267.032181966,1996429.6510416667,276.7528257240181
t7e2_1,31.0,3.0,64.0,1.1190402375E7,31900.045105618243,2019336.5572916667,432.8410449559275
t7e2_1,32.0,3.0,64.0,1.1323408838541666E7,88056.42495274037,2049220.0520833333,252.00460197647755
t7e2_1,33.0,3.0,64.0,1.1244431671875E7,157448.72185359217,2048498.3802083333,365.0189262047299
t7e2_1,34.0,3.0,64.0,1.1245388463541666E7,53065.239014909996,2072444.0416666667,129.02517746262845
t7e2_1,35.0,3.0,64.0,1.1303866109375E7,92637.05550423848,2100682.6510416665,94.12261411394636
t7e2_1,36.0,3.0,64.0,1.1379555692708334E7,193726.765145731,2122830.3072916665,316.91164356565633
t7e2_1,37.0,3.0,64.0,1.1437870677083334E7,81666.23719282295,2152267.984375,175.80230776646712
t7e2_1,38.0,3.0,64.0,1.1347990234375E7,51014.96948951228,2180117.0520833335,174.58616270014647
t7e2_1,39.0,3.0,64.0,1.158803753125E7,153802.43317060205,2212848.6614583335,169.3206225652738
t7e2_1,40.0,3.0,64.0,1.1578269536458334E7,32827.63158131213,2222298.875,168.66540414289915
t7e2_1,41.0,3.0,64.0,1.1595506052083334E7,76496.66086735437,2251211.8645833335,588.6281269686796
t7e2_1,42.0,3.0,64.0,1.1598834411458334E7,97723.83156175194,2277347.515625,306.92083574443507
t7e2_1,43.0,3.0,64.0,1.1708320973958334E7,117805.82731760533,2308157.6145833335,136.15709753202162
t7e2_1,44.0,3.0,64.0,1.1755138067708334E7,77700.41491661411,2330877.546875,304.6175909381866
t7e2_1,45.0,3.0,64.0,1.1817712901041666E7,90525.2244541536,2359728.2291666665,205.35504240406812
t7e2_1,46.0,3.0,64.0,1.1948897380208334E7,14434.702693337968,2387822.5885416665,72.27999744470976
t7e2_1,47.0,3.0,64.0,1.2007029739583334E7,74394.99581441366,2419695.5833333335,292.3625984927444
t7e2_1,48.0,3.0,64.0,1.2022288208333334E7,50519.64129399314,2452505.140625,371.93410671290707
t7e2_1,49.0,3.0,64.0,1.1970059838541666E7,143181.49458055652,2386466.0729166665,251.692829367037
t7e2_1,50.0,3.0,64.0,1.1978051447916666E7,67064.81884037564,2410395.171875,448.3986034960273
