TITLE,PARAMETER,REPETITIONS,MEANTIME,SDEVTIME,MEANRESULT,SDEVRESULT
t9differentRuns3,1.0,64.0,4973466.156249999,261441.44146690407,1194414.0,0.0
t9differentRuns3,2.0,64.0,4886635.515624998,36285.237653721226,1160719.0,0.0
t9differentRuns3,4.0,64.0,4994572.25,39222.693985246864,1239968.0,0.0
t9differentRuns3,8.0,64.0,5134409.453125,33973.40938726347,1339629.0,0.0
t9differentRuns3,16.0,64.0,5611170.500000003,90900.01072816747,1397571.0,0.0
t9differentRuns3,32.0,64.0,5988322.296874999,101068.45938928294,1448579.0,0.0
t9differentRuns3,64.0,32.0,6435946.53125,112735.72857565097,1500880.0,0.0
t9differentRuns3,128.0,32.0,6720272.062499999,130547.04961441393,1548892.0,0.0
t9differentRuns3,256.0,32.0,6969723.968749999,104944.72093916396,1591523.0,0.0
t9differentRuns3,512.0,32.0,7122251.500000001,126452.53410233898,1632959.0,0.0
t9differentRuns3,1024.0,32.0,7175002.53125,189820.06373320083,1671016.0,0.0
t9differentRuns3,2048.0,32.0,7394170.468749999,1931966.0408779813,1685634.0,0.0
t9differentRuns3,4096.0,32.0,6618313.749999999,93960.31923310536,1680338.0,0.0
t9differentRuns3,8192.0,64.0,6042660.093749999,148018.42191469972,1622300.0,0.0
